DEBUG | [probe] Logging set to DEBUG; file=/Users/hayden/Developer/Currency-Exchange-Problems/logs/debug.log
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> 0.429246 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> 0.543005 pred[2]=0
DEBUG | relax u=1 -> v=2: 0.543005 -> 0.478436 pred[2]=1
DEBUG | relax u=2 -> v=0: 0 -> -0.0586421 pred[0]=2
DEBUG | relax u=0 -> v=1: 0.429246 -> 0.370604 pred[1]=0
DEBUG | relax u=1 -> v=2: 0.478436 -> 0.419794 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.0586421 -> -0.117284 pred[0]=2
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> -0.425921 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0.0491902 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.425921 -> -0.487888 pred[0]=2
DEBUG | relax u=0 -> v=1: 0 -> -0.0586421 pred[1]=0
DEBUG | relax u=1 -> v=2: 0.0491902 -> -0.00945187 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.487888 -> -0.54653 pred[0]=2
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> -0.537078 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> -0.0478373 pred[1]=2
DEBUG | relax u=0 -> v=1: -0.0478373 -> -0.107832 pred[1]=0
DEBUG | relax u=1 -> v=2: 0 -> -0.0586421 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.537078 -> -0.59572 pred[0]=2
DEBUG | [probe] BF entered
DEBUG | relax u=0 -> v=1: 1e+300 -> 0.429246 pred[1]=0
DEBUG | relax u=0 -> v=2: 1e+300 -> 0.543005 pred[2]=0
DEBUG | relax u=0 -> v=3: 1e+300 -> 0 pred[3]=0
DEBUG | relax u=0 -> v=4: 1e+300 -> 0 pred[4]=0
DEBUG | relax u=1 -> v=2: 0.543005 -> 0.478436 pred[2]=1
DEBUG | relax u=2 -> v=0: 0 -> -0.0586421 pred[0]=2
DEBUG | relax u=3 -> v=1: 0.429246 -> 0 pred[1]=3
DEBUG | relax u=3 -> v=2: 0.478436 -> 0 pred[2]=3
DEBUG | relax u=0 -> v=3: 0 -> -0.0586421 pred[3]=0
DEBUG | relax u=0 -> v=4: 0 -> -0.0586421 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.0586421 -> -0.425921 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.425921 -> -0.537078 pred[0]=2
DEBUG | relax u=2 -> v=1: 0 -> -0.0478373 pred[1]=2
DEBUG | relax u=3 -> v=1: -0.0478373 -> -0.0586421 pred[1]=3
DEBUG | relax u=3 -> v=2: 0 -> -0.0586421 pred[2]=3
DEBUG | relax u=0 -> v=1: -0.0586421 -> -0.107832 pred[1]=0
DEBUG | relax u=0 -> v=3: -0.0586421 -> -0.537078 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.0586421 -> -0.537078 pred[4]=0
DEBUG | relax u=2 -> v=0: -0.537078 -> -0.59572 pred[0]=2
DEBUG | relax u=3 -> v=1: -0.107832 -> -0.537078 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.0586421 -> -0.537078 pred[2]=3
DEBUG | relax u=0 -> v=3: -0.537078 -> -0.59572 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.537078 -> -0.59572 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.59572 -> -0.962999 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.962999 -> -1.07416 pred[0]=2
DEBUG | relax u=2 -> v=1: -0.537078 -> -0.584915 pred[1]=2
DEBUG | relax u=3 -> v=1: -0.584915 -> -0.59572 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.537078 -> -0.59572 pred[2]=3
DEBUG | [probe] BF entered
DEBUG | relax u=1 -> v=0: 1e+300 -> -0.425921 pred[0]=1
DEBUG | relax u=1 -> v=2: 1e+300 -> 0.0491902 pred[2]=1
DEBUG | relax u=1 -> v=3: 1e+300 -> 0 pred[3]=1
DEBUG | relax u=1 -> v=4: 1e+300 -> 0 pred[4]=1
DEBUG | relax u=2 -> v=0: -0.425921 -> -0.487888 pred[0]=2
DEBUG | relax u=3 -> v=2: 0.0491902 -> 0 pred[2]=3
DEBUG | relax u=0 -> v=1: 0 -> -0.0586421 pred[1]=0
DEBUG | relax u=0 -> v=3: 0 -> -0.487888 pred[3]=0
DEBUG | relax u=0 -> v=4: 0 -> -0.487888 pred[4]=0
DEBUG | relax u=1 -> v=2: 0 -> -0.00945187 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.487888 -> -0.54653 pred[0]=2
DEBUG | relax u=3 -> v=1: -0.0586421 -> -0.487888 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.00945187 -> -0.487888 pred[2]=3
DEBUG | relax u=0 -> v=3: -0.487888 -> -0.54653 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.487888 -> -0.54653 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.54653 -> -0.913809 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.913809 -> -1.02497 pred[0]=2
DEBUG | relax u=2 -> v=1: -0.487888 -> -0.535725 pred[1]=2
DEBUG | relax u=3 -> v=1: -0.535725 -> -0.54653 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.487888 -> -0.54653 pred[2]=3
DEBUG | relax u=0 -> v=1: -0.54653 -> -0.59572 pred[1]=0
DEBUG | relax u=0 -> v=3: -0.54653 -> -1.02497 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.54653 -> -1.02497 pred[4]=0
DEBUG | relax u=2 -> v=0: -1.02497 -> -1.08361 pred[0]=2
DEBUG | relax u=3 -> v=1: -0.59572 -> -1.02497 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.54653 -> -1.02497 pred[2]=3
DEBUG | [probe] BF entered
DEBUG | relax u=2 -> v=0: 1e+300 -> -0.537078 pred[0]=2
DEBUG | relax u=2 -> v=1: 1e+300 -> -0.0478373 pred[1]=2
DEBUG | relax u=2 -> v=3: 1e+300 -> 0 pred[3]=2
DEBUG | relax u=2 -> v=4: 1e+300 -> 0 pred[4]=2
DEBUG | relax u=0 -> v=1: -0.0478373 -> -0.107832 pred[1]=0
DEBUG | relax u=0 -> v=3: 0 -> -0.537078 pred[3]=0
DEBUG | relax u=0 -> v=4: 0 -> -0.537078 pred[4]=0
DEBUG | relax u=1 -> v=2: 0 -> -0.0586421 pred[2]=1
DEBUG | relax u=2 -> v=0: -0.537078 -> -0.59572 pred[0]=2
DEBUG | relax u=3 -> v=1: -0.107832 -> -0.537078 pred[1]=3
DEBUG | relax u=3 -> v=2: -0.0586421 -> -0.537078 pred[2]=3
DEBUG | relax u=0 -> v=3: -0.537078 -> -0.59572 pred[3]=0
DEBUG | relax u=0 -> v=4: -0.537078 -> -0.59572 pred[4]=0
DEBUG | relax u=1 -> v=0: -0.59572 -> -0.962999 pred[0]=1
DEBUG | relax u=2 -> v=0: -0.962999 -> -1.07416 pred[0]=2
DEBUG | relax u=2 -> v=1: -0.537078 -> -0.584915 pred[1]=2
DEBUG | relax u=3 -> v=1: -0.584915 -> -0.59572 pred[1]=3
